date,GE
1926-10-01,0.00142
1926-10-02,0.0
1926-10-04,-0.024114
1926-10-05,-0.013081
1926-10-06,-0.004418
1926-10-07,-0.013314
1926-10-08,0.007496
1926-10-09,-0.019345
1926-10-11,-0.007587
1926-10-13,0.012232
1926-10-14,0.015106
1926-10-15,-0.035714
1926-10-16,0.0
1926-10-18,0.012346
1926-10-19,-0.015244
1926-10-20,0.01548
1926-10-21,0.018293
1926-10-22,-0.011976
1926-10-23,-0.004545
1926-10-25,-0.001522
1926-10-26,0.0
1926-10-27,0.01372
1926-10-28,-0.004511
1926-10-29,-0.003021
1926-10-30,-0.006061
1926-11-01,0.003049
1926-11-03,0.009119
1926-11-04,0.0
1926-11-05,0.00753
1926-11-06,-0.007474
1926-11-08,0.021084
1926-11-09,-0.011799
1926-11-10,-0.00597
1926-11-11,0.009009
1926-11-12,-0.00744
1926-11-13,0.001499
1926-11-15,-0.010479
1926-11-16,0.039334
1926-11-17,-0.014556
1926-11-18,0.001477
1926-11-19,-0.011799
1926-11-20,0.004478
1926-11-22,0.007429
1926-11-23,0.00295
1926-11-24,0.0
1926-11-26,0.014706
1926-11-27,-0.004348
1926-11-29,0.001456
1926-11-30,0.021802
1926-12-01,-0.002845
1926-12-02,-0.005706
1926-12-03,-0.007174
1926-12-04,0.00289
1926-12-06,0.0
1926-12-07,-0.011527
1926-12-08,-0.004373
1926-12-09,0.011713
1926-12-10,-0.001447
1926-12-11,-0.004348
1926-12-13,0.007278
1926-12-14,-0.007225
1926-12-15,0.0131
1926-12-16,-0.008696
1926-12-17,0.00731
1926-12-18,0.007257
1926-12-20,-0.002882
1926-12-21,-0.00289
1926-12-22,0.011594
1926-12-23,-0.008596
1926-12-24,0.0
1926-12-27,-0.011561
1926-12-28,-0.008772
1926-12-29,-0.004425
1926-12-30,-0.008889
1926-12-31,0.00299
1927-01-03,-0.004471
1927-01-04,0.0
1927-01-05,0.007485
1927-01-06,-0.007429
1927-01-07,0.005988
1927-01-08,0.0
1927-01-10,0.002976
1927-01-11,-0.002967
1927-01-12,0.004464
1927-01-13,0.001481
1927-01-14,-0.007396
1927-01-15,0.00149
1927-01-17,-0.001488
1927-01-18,-0.004471
1927-01-19,0.011976
1927-01-20,-0.007396
1927-01-21,0.00149
1927-01-22,0.0
1927-01-24,-0.011905
1927-01-25,-0.006024
1927-01-26,-0.006061
1927-01-27,-0.009146
1927-01-28,0.009231
1927-01-29,0.0
1927-01-31,0.012195
1927-02-01,0.009036
1927-02-02,0.00597
1927-02-03,-0.001484
1927-02-04,0.001486
1927-02-05,-0.007418
1927-02-07,-0.001495
1927-02-08,-0.008982
1927-02-09,0.015106
1927-02-10,0.0
1927-02-11,-0.011905
1927-02-14,0.01506
1927-02-15,-0.002967
1927-02-16,-0.001488
1927-02-17,-0.007452
1927-02-18,0.003003
1927-02-19,0.028443
1927-02-21,-0.010189
1927-02-23,0.002941
1927-02-24,-0.008798
1927-02-25,0.02071
1927-02-26,-0.002899
1927-02-28,-0.00436
1927-03-01,0.00438
1927-03-02,-0.015988
1927-03-03,0.01034
1927-03-04,-0.005848
1927-03-05,0.0
1927-03-07,-0.004412
1927-03-08,-0.001477
1927-03-09,0.002959
1927-03-10,-0.001475
1927-03-11,0.001477
1927-03-12,0.0059
1927-03-14,0.008798
1927-03-15,-0.002907
1927-03-16,0.002941
1927-03-17,0.004399
1927-03-18,-0.005839
1927-03-19,0.004405
1927-03-21,-0.005848
1927-03-22,-0.008824
1927-03-23,0.002967
1927-03-24,0.011834
1927-03-25,0.0
1927-03-26,-0.008772
1927-03-28,0.020649
1927-03-29,-0.008671
1927-03-30,0.0
1927-03-31,0.007289
1927-04-01,0.018813
1927-04-02,0.017046
1927-04-04,0.002793
1927-04-05,0.0
1927-04-06,-0.011142
1927-04-07,-0.008451
1927-04-08,0.004261
1927-04-09,0.004243
1927-04-11,0.019718
1927-04-12,-0.005525
1927-04-13,0.040278
1927-04-14,-0.013351
1927-04-16,-0.012179
1927-04-18,0.0
1927-04-19,0.010959
1927-04-20,0.017615
1927-04-21,0.009321
1927-04-22,0.030343
1927-04-23,0.006402
1927-04-25,-0.02799
1927-04-26,0.01178
1927-04-27,0.01423
1927-04-28,-0.020408
1927-04-29,0.009115
1927-04-30,-0.010323
1927-05-02,0.001304
1927-05-03,0.010417
1927-05-04,0.012887
1927-05-05,0.012723
1927-05-06,-0.005025
1927-05-07,-0.002525
1927-05-09,-0.002532
1927-05-10,-0.002538
1927-05-11,-0.008906
1927-05-12,-0.003851
1927-05-13,0.010309
1927-05-14,0.001276
1927-05-16,-0.015287
1927-05-17,0.007762
1927-05-18,0.001284
1927-05-19,0.008974
1927-05-20,-0.005083
1927-05-21,0.0
1927-05-23,-0.003831
1927-05-24,-0.001282
1927-05-25,0.029525
1927-05-26,0.004988
1927-05-27,0.013648
1927-05-28,0.00612
1927-05-31,0.014599
1927-06-01,0.016787
1927-06-02,0.007075
1927-06-03,-0.010539
1927-06-04,0.005917
1927-06-06,0.008235
1927-06-07,-0.014002
1927-06-08,-0.005917
1927-06-09,-0.002381
1927-06-10,-0.004773
1927-06-11,0.002398
1927-06-14,-0.014354
1927-06-15,0.019418
1927-06-16,0.014286
1927-06-17,-0.010563
1927-06-18,0.001198
1927-06-20,-0.008373
1927-06-21,0.003619
1927-06-22,0.009615
1927-06-23,-0.004762
1927-06-24,0.009569
1927-06-25,0.0
1927-06-27,-0.007109
1927-06-28,0.0
1927-06-29,0.023866
1927-06-30,0.011655
1927-07-01,0.032258
1927-07-02,0.011161
1927-07-05,0.029801
1927-07-06,0.001072
1927-07-07,-0.006424
1927-07-08,0.009698
1927-07-09,-0.001067
1927-07-11,0.007479
1927-07-12,0.002121
1927-07-13,-0.001058
1927-07-14,-0.008475
1927-07-15,0.007479
1927-07-16,0.009544
1927-07-18,0.016807
1927-07-19,0.032025
1927-07-20,-0.01001
1927-07-21,-0.001011
1927-07-22,-0.006073
1927-07-23,0.002037
1927-07-25,0.00813
1927-07-26,0.0
1927-07-27,0.022177
1927-07-28,0.0
1927-07-29,0.000986
1927-07-30,0.008867
1927-08-01,0.007813
1927-08-02,0.011628
1927-08-03,-0.015326
1927-08-04,-0.004864
1927-08-05,-0.022483
1927-08-06,-0.004
1927-08-08,-0.02008
1927-08-09,0.008197
1927-08-10,0.003049
1927-08-11,-0.018237
1927-08-12,-0.012384
1927-08-13,0.032393
1927-08-15,0.008097
1927-08-16,0.0
1927-08-17,-0.004016
1927-08-18,-0.001008
1927-08-19,0.032291
1927-08-20,0.012708
1927-08-22,-0.005792
1927-08-23,-0.005825
1927-08-24,0.007813
1927-08-25,0.002907
1927-08-26,0.034783
1927-08-27,0.028945
1927-08-29,-0.006352
1927-08-30,0.018265
1927-08-31,0.009865
1927-09-01,0.012433
1927-09-02,0.001754
1927-09-03,0.007005
1927-09-06,0.008696
1927-09-07,0.0
1927-09-08,-0.016379
1927-09-09,-0.021911
1927-09-10,0.005376
1927-09-12,-0.012478
1927-09-13,0.01444
1927-09-14,-0.004448
1927-09-15,0.011618
1927-09-16,-0.012368
1927-09-17,-0.012522
1927-09-19,-0.014493
1927-09-20,0.0
1927-09-21,0.003676
1927-09-22,-0.008242
1927-09-23,0.01385
1927-09-24,0.0
1927-09-26,-0.016514
1927-09-27,0.001866
1927-09-28,-0.005587
1927-09-29,0.005618
1927-09-30,0.01676
1927-10-01,-0.001832
1927-10-03,-0.004587
1927-10-04,0.015668
1927-10-05,0.023594
1927-10-06,-0.010638
1927-10-07,-0.014337
1927-10-08,-0.003636
1927-10-10,-0.014599
1927-10-11,-0.000926
1927-10-13,0.008341
1927-10-14,-0.009191
1927-10-15,0.001855
1927-10-17,-0.027778
1927-10-18,0.010476
1927-10-19,-0.019793
1927-10-20,-0.032692
1927-10-21,-0.00497
1927-10-22,-0.013986
1927-10-24,0.006079
1927-10-25,0.021148
1927-10-26,0.0
1927-10-27,-0.019724
1927-10-28,-0.016097
1927-10-29,-0.00818
1927-10-31,0.007216
1927-11-01,0.003071
1927-11-02,0.015306
1927-11-03,0.019096
1927-11-04,-0.004931
1927-11-05,0.004955
1927-11-07,0.029586
1927-11-09,-0.022989
1927-11-10,0.002941
1927-11-11,0.016618
1927-11-12,0.000962
1927-11-14,0.011527
1927-11-15,0.002849
1927-11-16,-0.010417
1927-11-17,-0.002871
1927-11-18,0.005758
1927-11-19,0.003817
1927-11-21,-0.011407
1927-11-22,-0.003846
1927-11-23,0.009653
1927-11-25,-0.001912
1927-11-26,0.008621
1927-11-28,0.002849
1927-11-29,0.012311
1927-11-30,-0.004677
1927-12-01,-0.013158
1927-12-02,0.006667
1927-12-03,0.001892
1927-12-05,-0.010387
1927-12-06,-0.006679
1927-12-07,0.003842
1927-12-08,0.0
1927-12-09,0.018182
1927-12-10,0.009399
1927-12-12,0.0
1927-12-13,-0.004655
1927-12-14,-0.008419
1927-12-15,-0.003774
1927-12-16,0.007576
1927-12-17,0.00282
1927-12-19,0.001874
1927-12-20,0.002806
1927-12-21,-0.004664
1927-12-22,-0.00661
1927-12-23,0.003802
1927-12-24,0.0
1927-12-27,0.001894
1927-12-28,0.0
1927-12-29,0.007561
1927-12-30,0.003752
1927-12-31,0.014953
1928-01-03,0.012891
1928-01-04,-0.006364
1928-01-05,-0.015554
1928-01-06,0.007435
1928-01-07,0.008303
1928-01-09,-0.015554
1928-01-10,-0.011152
1928-01-11,-0.004699
1928-01-12,0.000944
1928-01-13,0.011321
1928-01-14,-0.009328
1928-01-16,-0.013183
1928-01-17,0.000954
1928-01-18,-0.004766
1928-01-19,0.011494
1928-01-20,0.011364
1928-01-21,-0.003745
1928-01-23,0.008459
1928-01-24,-0.008388
1928-01-25,-0.008459
1928-01-26,-0.001896
1928-01-27,0.005698
1928-01-28,-0.00661
1928-01-30,-0.007605
1928-01-31,0.0
1928-02-01,0.0
1928-02-02,0.003831
1928-02-03,-0.019084
1928-02-04,0.007782
1928-02-06,-0.003861
1928-02-07,0.0
1928-02-08,-0.004845
1928-02-09,0.010711
1928-02-10,0.00578
1928-02-11,0.0
1928-02-14,-0.009579
1928-02-15,0.001934
1928-02-16,-0.000965
1928-02-17,-0.018358
1928-02-18,0.0
1928-02-20,-0.009843
1928-02-21,0.00497
1928-02-23,0.006924
1928-02-24,0.000982
1928-02-25,-0.006869
1928-02-27,-0.003953
1928-02-28,0.002976
1928-02-29,0.018793
1928-03-01,-0.004854
1928-03-02,0.001951
1928-03-03,0.012658
1928-03-05,0.0125
1928-03-06,0.00095
1928-03-07,-0.013283
1928-03-08,0.007692
1928-03-09,0.012405
1928-03-10,0.005655
1928-03-12,0.048735
1928-03-13,0.00983
1928-03-14,-0.020354
1928-03-15,-0.000903
1928-03-16,0.012658
1928-03-17,-0.010714
1928-03-19,0.0
1928-03-20,0.021661
1928-03-21,0.021201
1928-03-22,0.004325
1928-03-23,0.024979
1928-03-24,-0.000846
1928-03-26,-0.011008
1928-03-27,0.020548
1928-03-28,-0.012584
1928-03-29,0.026338
1928-03-30,0.05298
1928-03-31,0.0
1928-04-02,-0.032233
1928-04-03,0.01381
1928-04-04,-0.008814
1928-04-05,0.008892
1928-04-09,-0.002404
1928-04-10,-0.02008
1928-04-11,0.009836
1928-04-12,0.018669
1928-04-13,0.082072
1928-04-14,-0.014728
1928-04-16,0.041854
1928-04-17,-0.032999
1928-04-18,-0.010386
1928-04-19,0.001499
1928-04-20,-0.005988
1928-04-23,-0.024096
1928-04-24,0.001543
